resp_id,version,task,alt,Y,d_att1_2,d_att2_2,d_att3_2,d_att4_2,d_att5_2,d_att5_3,d_att5_4,d_att6_2,d_att6_3,d_att7_2,d_att8_2,d_att8_3,d_att9_2,d_att9_3,d_att9_4,d_att10_2,d_att10_3,optout,
1,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,
1,2,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,
1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,2,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,
1,2,2,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,
1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,3,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,
1,2,3,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,
1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,4,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,
1,2,4,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,
1,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,5,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,
1,2,5,2,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,
1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,6,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,
1,2,6,2,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,
1,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,7,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,
1,2,7,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,
1,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,2,8,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,
1,2,8,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
